,base_notes,brand,gender,heart_notes,olfactory_family,perfume_name,top_notes
1772,birch,Victoria's Secret,women,jasmine,floral,Bombshell Holiday,"pomegranate,ice"
1773,"tobacco absolute,java cedar",Atelier des Ors,unisex,"gaiac wood,styrax,cedar leaf",smoky,Bois Sikar,"nutmeg,precious woods"
1774,"cedar,vetiver,oakmoss,benzoin",Comptoir Sud Pacifique,unisex,"cumin,geranium,patchouli",oriental,Bois Royal,"bergamot,lemon"
1775,"vanilla,sandalwood,vetiver,tonka bean,leather",Tom Ford,unisex,"jasmine,lily-of-the-valley,cedar,patchouli",oriental,Bois Rouge,"citrus,spices"
1776,"balsam,labdanum absolute",Robert Piguet,unisex,"patchouli,sandalwood",woody,Bois Noir,"gaiac wood,cedarwood"
1777,"patchouli,sandalwood,white musks,cypriol",Ex Nihilo,men,"cyclamen,heliotrope,cedarwood",woody,Bois D’Hiver,"cardamom seed,pink peppercorn"
1778,"honey,leather from the sahara",Dior,men,"indonesian patchouli,somalian myrrh",woody,Bois D’Argent,"oliban,iris absolute"
1779,"vanilla,sandalwood,vetiver,tonka bean",Chanel,unisex,"rose,ylang ylang,precious wood",oriental,Bois Des Iles,"jasmine,aldehyde c11"
1780,"moss,papyrus",Karl Lagerfeld,men,nutmeg,aromatic,Bois De Yuzu,"tangerine,ginger,bergamot,grapefruit,mint,rosemary,yuzu"
1781,"amber,wood,cedar",Roger & Gallet,unisex,"orange tree blossom,neroli",aromatic,Bois D'Orange,"tangerine,basil,verbena"
1782,"oakmoss,smoked prickly cedar,somalian frankincense",Naomi Goodsir,unisex,"cinnamon,amber,labdanum",smoky,Bois D'Ascèse,"tobacco,whisky"
1783,"vetiver,white musks,blond wood",Atelier Cologne,unisex,"orange blossom,oliban",floral,Bois Blonds,"rose-bay,neroli"
1784,"musk,vanilla,moss,sandalwood,cedar",Naomi Campbell,women,"jasmine,orange blossom,lily of the valley,rose,cotton",fruity,Bohemian Garden,"lemon,pear,peach blossom"
1785,"benzoin,caramel,sandalwood,tonka bean",Yves Saint Laurent,men,"carnation,lavender,cinnamon,oliban",oriental,Body Kouros,"eucalyptus,nutmeg,star anise / chinese anise"
1786,"cedar,sugar,leather,patchouli,vanilla,animal notes,chocolate,musk",Orto Parisi,unisex,jasmine,oriental,Boccanera,"black pepper,capsicum annuum,coconut,ginger"
1787,"sandalwood,cashmeran,white musks",Marc Jacobs,women,"orange blossom,broom,morrocan jasmine",floral,Blush Intense,"fresh jasmine,jasmine nectar,vine jasmine"
1788,"sandalwood,cashmeran,white musks",Marc Jacobs,women,"orange blossom,jasmine,honeysuckle,freesia",floral,Blush,"italian bergamot,fresh notes,jasmine petal"
1789,"maté,musk,powder notes,ambergris",Montale,unisex,"cedar,leather,patchouli,tabacco leaf",citrus,Blue Matcha,"citrus fruit,matcha,black currant"
1790,"amber,cedar,oakmoss,patchouli,vanilla,musk",Armaf,men,"rosemary,lavender,nutmeg,jasmine",citrus,Blue Homme,"bergamot,neroli,grapefruit,citron,tangerine,lime"
1791,"ambrette,sandalwood,vetiver,white musks,moss",Ralph Lauren,women,"orange blossom,tuberose,may rose,nantucket",floral,Blue,"jasmine,lily-of-the-valley,gardenia,lotus,pink peony"
1792,"vanilla,cedar,white musks",Acqua Di Parma,unisex,"jasmine,white peach,coffee accord",oriental,Blu Mediterraneo ‘Mandorlo’,"star anise / chinese anise,bergamot,green almond"
1793,"cedar,white musks,fig sap",Acqua Di Parma,unisex,"jasmine,rose-bay,fig",floral,Blu Mediterraneo ‘Fico’,"bergamot,lemon,mandarin,orange,grapefruit"
1794,"cedar,patchouli,vetiver,cypress,oakmoss,pine",Acqua Di Parma,unisex,"lavender,coriander,cardamom seed,pine,floral notes",woody,Blu Mediterraneo ‘Cipresso’,"clary sage,rosemary,basil,grapefruit,petitgrain"
1795,"caramel,white musks",Acqua Di Parma,unisex,"cardamom seed,mate,petitgrain,leaves",citrus,Blu Mediterraneo ‘Arancia’,"lemon,orange,calabrian bergamot,sicilian mandarin"
1796,"benzoin,vetiver,white musks",Acqua Di Parma,unisex,"cedar,ginger,floral notes",citrus,Blu Mediterraneo Bergamotto,"bergamot,citron"
1797,"cedarwood,vetiver",Acqua di Parma,unisex,"galbanum,geranium",citrus,Blu Mediterraneo - Bergamotto Di Calabria La Spugnatura,"calabrian bergamot,bitter orange,mandarin orange,grapefruit"
1798,"benzoin,musk,vetiver",Acqua di Parma,unisex,"bergamot,ginger,cedar",citrus,Blu Mediterraneo - Bergamotto Di Calabria,"bergamot,lemon"
1799,"sandalwood,musk",Jimmy Choo,women,"sweet pea,rose",fruity,Blossom,"citrus fruit,red berries,raspberry"
1800,"sandalwood,coconut,musk",Thalia Sodi,women,"tuberose,gardenia,jasmine sambac",floral,Blooming Opal,"bergamot,water lily,honey suckle"
1801,"sandalwood,dry woods,orris concrete,benzoin,musky notes",Gucci,women,"tuberose,jasmin bud,ylang-ylang",floral,Bloom Profumo Di Fiori,jasmine sambac absolute
1802,"patchouli,musk,osmanthus",Gucci,women,"jasmin bud,rangoon creeper,tuberose",gourmand,Bloom Nettare Di Fiori,"ginger,rose"
1803,rangoon creeper (chinese honeysuckle),Gucci,women,tuberose,floral,Bloom,jasmine
1804,"amber,patchouli",Parfums Quartana ,unisex,"rose,orris,blood accord",oriental,Bloodflower,"green anise,clover,liquorice"
1805,"civet,benzoin,sandalwood,white musks",Versace,women,"narcissus,carnation,tuberose,ylang ylang",floral,Blonde,"orange blossom,gardenia,bergamot,pittosporum"
1806,"labdanum ciste,patchouli,sandalwood,oliban",Chanel,men,"jasmine,cedar,vetiver,ginger,dry notes",aromatic,Bleu,"nutmeg,rose-bay,peppermint,lemon,orange,grapefruit"
1807,"patchouli,sandalwood,vetiver",Atelier Cologne,unisex,"jasmine,rose,immortelle",oriental,Blanche Immortelle,"mimosa,bergamot,mandarin"
1808,"white musk,vanilla,sandalwood",Heeley,unisex,"cotton flower,rice powder",powdery,Blanc Poudre,blossoms
1809,"mahogany,beeswax,firewood",Shay & Blue,unisex,cognac,smoky,Blacks Club Leather,leather
1810,cypress,Shay & Blue,unisex,"neroli,lemon leaf",fruity,Blackberry Woods,blackberry
1811,"patchouli,massoia wood,black vanilla",Paco Rabanne,women,"rose,cocoa blossom,black violet",floral,Black Xs Pour Elle,"rose-bay,cranberry,tamarind"
1812,"cashmeran,cistus flower",Paco Rabanne,men,"rum,fruity notes",oriental,Black Xs Potion Pour Lui,"juniper berry,absinthe"
1813,"sandalwood,ambry notes",Paco Rabanne,women,rose,oriental,Black Xs Potion Pour Elle,grapefruit
1814,"patchouli,amber,woody notes",Paco Rabanne,men,"ozonic accord,cypriol",woody,Black Xs L’Excès Pour Lui / For Him,"lavender,lemon,fruity notes"
1815,"vanilla,cashmeran",Paco Rabanne,women,"jasmine,rose,night queen",oriental,Black Xs L’Excès Pour Elle / For Her,"pepper,neroli"
1816,"praline,white musks,leather",Paco Rabanne,men,"orange blossom,cypress,honeyed notes",oriental,Black Xs L’Aphrodisiaque Pour Lui,"cinnamon,fruity notes,saffron"
1817,"ambergris,vanilla,mandrake",Paco Rabanne,women,"rose,peach",oriental,Black Xs L’Aphrodisiaque Pour Elle,"nasturtium leaves,neroli,sevillan orange"
1818,"amberwood,mineral notes",Paco Rabanne,men,cinnamon,woody,Black Xs Los Angeles For Him - Limited Edition 2016,"clary sage,florida orange"
1819,"amber,amberwood,vanilla",Paco Rabanne,women,"rose,orchid,rhum note,cranberry,coconut water",oriental,Black Xs Los Angeles For Her - Limited Edition 2016,"bitter orange,tamarind leaves"
1820,"black amber,patchouli,palisandr rosewood,ebony wood",Paco Rabanne,men,"praline,cinnamon,black cardamom,tolu balm",oriental,Black Xs  (2018),"lemon,sage,marigold,citrus fruit"
1821,"rosewood,patchouli,ebony,black amber",Paco Rabanne,men,"tolu balsam,praline,cinnamon,black cardamom",oriental,Black Xs,"sage,lemon,calamansi,tagete"
1822,"wood,moss",Tom Ford,women,black violet,floral,Black Violet,"citrus,fruity notes"
1823,"temple incense,vetiver",Jo Malone,unisex,coriander,spicy,Black Vetyver Café,"roasted coffee,dark chocolate"
1824,"vetiver,virginia cedar,patchouli,vanilla,musk",Franck Olivier,men,"geranium,african orange flower,jasmine,magnolia",aromatic,Black Touch,"spices,grapefruit,bergamot,cardamom"
1825,"patchouli,haitian vetiver,sandalwood,virginia cedar,cypriol,black musk",Acca Kappa,unisex,"damask rose,cinnamon,black pepper,oud",spicy,Black Pepper & Sandalwood,"bergamot,elemi resin,davana,saffron,clove,nutmeg,balsam fir"
1826,"vanilla,milk,balsam fir,patchouli,sandalwood,cinnamon,fruity notes",Tom Ford,women,"lily,honeysuckle,gardenia,pepper,plum,lotus wood,black orchid",oriental,Black Orchid Voile De Fleur,"ylang ylang,bergamot,blackcurrant,truffle,floral"
1827,"vanilla,patchouli,sandalwood,vetiver,oliban,dark chocolate",Tom Ford,women,"orchid,lotus wood,fruity notes",oriental,Black Orchid,"ylang ylang,bergamot,blackcurrant,truffle"
1828,"vanilla,sandalwood,white musks",Yves Saint Laurent,women,"orange flower,coffee accord",floral,Black Opium Nuit Blanche,"pepper,rice"
1829,"vanilla,sandalwood,coffee",Yves Saint Laurent,women,"licorice,jasmine sambac,orange blossom",oriental,Black Opium Intense,absinth
1830,coffee,Yves Saint Laurent,women,fig,floral,Black Opium Illicit Green,tangerine
1831,"coffee,white musks,white wood",Yves Saint Laurent,women,"orange blossom,jasmine tea,floral notes",oriental,Black Opium Edt,"pear,blackcurrant buds,green mandarin"
1832,"vanilla,patchouli,cedar",Yves Saint Laurent,women,"coffee,jasmine",oriental,Black Opium,"pink pepper,orange tree blossom,pear"
1833,"amber,patchouli,sandalwood",Mexx,men,"cedar,water lily,pepper",aromatic,Black Man,"tangerine,water notes,green notes"
1834,"white musk,sandalwood,guaiac wood",Mancera,unisex,"rose,patchouli,amber,leather",oriental,Black Line,spices
1835,"labdanum ciste,cedar,vetiver,tonka bean",Versace,men,"jasmine,carnation,rose,thyme",woody,Black Jeans,"lavender,tarragon,lemon,mandarin"
1836,"leather,musk,styrax,tonka beans",Etienne Aigner,men,"pine,oak,mint",spicy,Black For Man,"bergamot,orange"
1837,"amber,musk,sandalwood",Kenneth Cole,women,"iris,lotus,magnolia,tuberose,jasmine,white flowers,ylang-ylang,lily of the valley,lotus",floral,Black For Her,"citrus fruit,violet"
1838,"cedarwood,vetiver",Comme des Garçons,unisex,"leather,liquorice,birch tar,pepperwood",smoky,Black Comme Des Garçons,"madagascar pepper,somalian frankincense"
1839,"patchouli,sandalwood,amber",Mexx,men,"water lily,virginia cedar",aromatic,Black,"tangerine,water notes,pepper"
1840,ambergris,Ralph Lauren,women,floral notes,oriental,Big Pony 4 For Women,cherry
1841,kyara wood,Ralph Lauren,men,woody notes,woody,Big Pony 4,"mandarin,other citrus fruits"
1842,soft notes,Ralph Lauren,women,mimosa,floral,Big Pony 3 For Women,pear
1843,woody notes,Ralph Lauren,men,"mint,fern accord",aromatic,Big Pony 3,ginger
1844,tonka bean,Ralph Lauren,women,floral notes,floral,Big Pony 2 For Women,cranberry
1845,white musks,Ralph Lauren,men,chocolate,oriental,Big Pony 2,"white musks,fern accord"
1846,musky notes,Ralph Lauren,women,lotus,floral,Big Pony 1 For Women,grape
1847,woody notes,Ralph Lauren,men,"grapefruit,aromatic notes",citrus,Big Pony 1,sweet lime
1848,"benzoin,styrax,amber,labdanum",Clinique,women,"rose,osmanthus,freesia",floral,Beyond Rose Eau De Parfum,mate
1849,"patchouli,vetiver,oakmoss,wood",Estée Lauder,men,"labdanum ciste,thyme,sage,tarragon,lavender absolute",woody,Beyond Paradise Men,"jabuticaba,eden buchu,eden's mist"
1850,"ylang ylang,lavender,vanilla,sandalwood,neroli",Estée Lauder,women,"orange blossom,jasmine,frangipani,belle de nuit",floral,Beyond Paradise Blue,"bergamot,mandarin,grapefruit,jabuticaba,water flower"
1851,"plum blossom,ambrette seeds,zebrano wood",Estée Lauder,women,"jasmine,orchid,honeysuckle,japanese mahonia",floral,Beyond Paradise,"orange blossom,hyacinth,jabuticaba,eden's mist"
1852,animal notes,By Kilian,women,tuberose,floral,Beyond Love,"white flowers,green notes"
1853,"musk,amber",Al Haramain,unisex,"violet,jasmine,rose",green,Best,"orange,lemon"
1854,"vanilla,tonka bean,patchouli,musk",Birkholz,unisex,"nutmeg,amber",spicy,Berlin Fever,"tobacco,cardamom,cinnamon,ginger"
1855,"oakmoss,white amber",Atelier Cologne,women,"lavender,egyptian jasmine",woody,Bergamote Soleil Cologne Absolue Eau De Parfum,calabrian bergamot
1856,"oakmoss,white amber,haitian vetiver",Atelier Cologne,unisex,"lavender,cardamom seed,egyptian jasmine",citrus,Bergamote Soleil,"ambrette,calabrian bergamot,bigarade orange"
1857,"cedar,musk,tonka beans",Orto Parisi,unisex,"lily of the valley,lavender,orange blossom",citrus,Bergamask,"bergamot,lemon"
1858,"amber,oud,moss",Bentley,men,"papyrus,sandalwood,atlas cedar",smoky,Bentley For Men Absolute,"ginger,pink pepper,frankincense"
1859,"patchouli,sandalwood,amber,smoky notes",Yves Saint Laurent,women,"pepper,oliban,peach,tobacco,fruity notes,accord tobacco",oriental,Belle D’Opium,"lily,gardenia,mandarin,white flowers"
1860,"patchouli,musk,ambroxan",Oscar de la Renta,women,"vanilla,rose,jasmine",aromatic,Bella Essence,"grapefruit,raspberry,currant"
1861,"leather,garrigue",Chanel,unisex,"daffodil,cut grass,floral notes",floral,Bel Respiro,"rosemary,thyme,basil"
1862,"honey,musky notes,powdery notes",Chanel,women,"jasmine,lily,heliotrope",floral,Beige,"ylang ylang,may rose"
1863,"boxwood,padouk wood",Estée Lauder,women,"lily,ginger,pittosporum,nashi pear",floral,Beautiful Sheer,"mimosa,michelia,linden blossom"
1864,"musk,cedar,sandalwood",Estée Lauder,women,"magnolia,gardenia,sun notes,turkish rose",floral,Beautiful Magnolia,"magnolia leaves,lotus,maté"
1865,"vetiver,cashmeran,iris,tonka bean,other woods,whipped cream",Estée Lauder,women,"jasmine,tuberose,tiare flower,other flowers,black violet",floral,Beautiful Love,"freesia,rose-bay,mango,pomelo,ivy,cantaloupe"
1866,"vanilla,cedar,sandalwood,vetiver",Estée Lauder,women,"orange blossom,jasmine,tuberose,ylang ylang",floral,Beautiful,"bergamot,lemon,galbanum,blackcurrant"
1867,"musk,woody notes,vanilla,amber",Armaf,women,"magnolia,iris,rose,jasmine",fruity,Beau Elegant,"apricot,freesia,green apple,orange blossom"
1868,"patchouli,oakmoss,amber",Tom Ford,men,"geranium,rosemary,basil,mint",aromatic,Beau De Jour,"lavender,lavandin"
1869,"musk,vetiver,sandalwood,cedar",Armaf,men,"jasmine,lavender,rose,sage,rosemary",citrus,Beau Acute,"bergamot,petitgrain,orange,lemon"
1870,amber,Oriflame,men,lavender,woody,Be The Wild Legend,black pepper
1871,"caramel,raspberry,ambroxan",DKNY,women,"peony,heliotrope,lily of the valley,gardenia",fruity,Be Extra Delicious,"black currant,pear,freesia,bergamot"
1872,"amber,oakmoss,caramel,leather,musk,teakwood,arborvitae,tonka bean,brazilian vetiver",La Martina,men,"geranium,jasmine,magnolia,lily of the valley",woody,Bayres Hombre,"bergamot,grapefruit,coriander,rhubarb,pink pepper"
1873,"amber,musk,incense,cedar wood",Al Haramain,unisex,"agar wood,sandalwood,patchouli,guaiac wood",woody,Batoul,"saffron,tobacco,jasmine,orange blossom"
1874,"cedar wood,labdanum,patchouli,vetiver,musk,ambroxan",Armaf,unisex,"pink pepper,lavender,geranium,jasmine",aromatic,Batman,"bergamot,black pepper,black currant,pineapple"
1875,"leather,musk,sandalwood,tonka bean,vetiver",Zoologist,unisex,"fig,resins,mineral notes,myrrh,tropical fruits,roots",woody,Bat,"banana,soil,fruits"
1876,"vetiver,green hay",Vilhelm Parfumerie,unisex,"violet,fig",green,Basilico & Fellini,"basil,dragon fruit"
1877,musk,Jenny Glow,unisex,"lemon,neroli",citrus,Basil,"basil,galbanum,green notes"
1878,"benzoin,cashmeran,white amber",Marc Jacobs,men,"sage,patchouli,sandalwood",oriental,Bang Bang,"fennel,coriander,cardamom seed,lemon,minty notes"
1879,"patchouli,white moss",Marc Jacobs,men,"benzoin,vetiver,elemi",woody,Bang,pepper
1880,"pink pepper,amber,musk",Aerin,women,"bulgarian rosa alba,bulgarian rose absolute,rose water,rosa centifolia,jasmine",fresh,Bamboo Rose,"sicilian bergamot,mandarin orange blossom,leaves"
1881,"fig,oakmoss,mate",By Kilian,unisex,"mimosa,spicy notes,white tea",citrus,Bamboo Harmony,"bergamot,bitter orange,neroli"
1882,"ambergris,sandalwood,vanilla,white musk",Gucci,women,"ylang-ylang,lily,jasmine",floral,Bamboo,"sicilian bergamot,italian mandarin,pear,orange blossom"
1883,"chypre accord,musk",Ineke,women,"honeysuckle,mimosa,rose",green,Balmy Days & Sundays,"yellow freesia,grass,leaf green"
1884,"vanilla,coconut,cedar,temple wood,haitian vetiver",Estée Lauder,women,"jasmine,tuberose,ylang ylang,lily-of-the-valley,cassie,gardenia,pepper,plum,tagete",oriental,Bali Dream,"orchid,magnolia,ginger,orchid leaves"
1885,"sandalwood,tobacco,patchouli leaves,fir",Hugo Boss,men,"cloves,cumin seeds,patchouli blossom",oriental,Baldessarini,"mint,mandarin,bitter orange"
1886,"vanilla,oriental notes",Cartier,women,"lily,spicy notes,powdery notes",oriental,Baiser Volé Essence De Parfum,"green notes,floral notes"
1887,vanilla,Cartier,women,"rose,lily",floral,Baiser Volé,galbanum
1888,"guaiac wood,musk,vetiver,sandalwood,tonka beans,vanilla absolute",Nicolai,unisex,"leather,iris,violet,rose,pine",citrus,Baikal Leather Intense,"yuzu,saffron,pepper"
1889,"agarwood smoke,patchouli,musk",Lattafa,unisex,"agarwood smoke,patchouli",oriental,Badee Al Oud Oud Of Glory,"saffron,nutmeg"
1890,"cocoa,tonka beans",Carolina Herrera,men,"clary sage,vetiver",oriental,Bad Boy Gold Fantasy,"white pepper,grapefruit"
1891,"truffle,vetiver,cedar wood",Carolina Herrera,men,"geranium,plum",aromatic,Bad Boy Cobalt,"lavender,pink pepper"
1892,"tonka bean,cocoa absolute",Carolina Herrera,men,"vetiver,clary sage",synthetic,Bad Boy,"grapefruit,white pepper,black pepper,pink pepper,italian bergamot"
1893,"ambroxan,patchouli,tobacco,tonka beans,woody notes",Diesel,men,"caviar,sage,orris root",aromatic,Bad,"bergamot,cardamom,lavender,violet leaf"
1894,"patchouli,sandalwood,cedar wood,tonka beans,vanilla,musk",Eisenberg,women,"jasmine,violet,iris,rose",floral,Back To Paris,"bergamot,pink pepper,tangerine,rhubarb,black currant"
1895,"labdanum ciste,vanilla,almond,tobacco,ambry notes",By Kilian,unisex,"honey,patchouli,vetiver,atlas cedar,oliban,moss",oriental,Back To Black,"blue camomile,coriander,cardamom seed,raspberry,bergamot"
1896,"fresh milk,moss,vanilla orchid",Burberry,unisex,"orange blossom,lily-of-the-valley,cyclamen,fresh jasmine",citrus,Baby Touch Eau De Toilette,"mandarin,rhubarb,green mint,verbena"
1897,"vanilla,cedar,sandalwood,vetiver",Versace,women,"carnation,ylang ylang,orchid,iris",floral,Baby Rose Jeans,"peach,bergamot,lemon,green notes"
1898,"vanilla,cedar,sandalwood,tonka bean",Yves Saint Laurent,women,"rose,lily-of-the-valley,freesia,heliotrope",floral,Baby Doll,"pineapple,apple,orange,blackcurrant"
1899,"benzoin,cedar,patchouli,sandalwood",Versace,men,"geranium,carnation,heliotrope,clary sage",oriental,Baby Blue Jeans,"lavender,rosewood,basil,lemon"
1900,"musk,oakmoss,tonka bean",Nishane,unisex,"cashmere wood,cedar,sandalwood,patchouli",chypre,B-612,"lavender,geranium,cypress"
1901,"cedar,patchouli,sandalwood",Boucheron,women,"osmanthus,spices",floral,B,"orange blossom,rose"
1902,"patchouli,vetiver,oakmoss",Detaille,men,jasmine,chypre,Aéroplane,"lemon,bergamot,petitgrain,basil,mint,vervain"
1903,mastic,Azzaro,men,lavender,aromatic,Azzaro Pour Homme Cologne Intense,lime
1904,"amber,oakmoss,leather,musk,tonka bean",Azzaro,men,"cardamom,patchouli,sandalwood,vetiver,juniper berry,cedarwood",chypre,Azzaro Pour Homme,"aniseed,basil,bergamot,iris,caraway,lavender,clary sage,lemon"
1905,"amber,leather,moss,musk,patchouli",Estēe Lauder,women,"mugwort,geranium,orris root,rose,vetiver,ylang-ylang",chypre,Azurēe,"aldehydes,artemisia,basil,gardenia,jasmine,citrus notes"
1906,"myrrh,sandalwood,vetiver",Estée Lauder,women,"gardenia,coconut",oriental,Azurée Soleil,orange blossom
1907,"leather,amber,patchouli,musk,oakmoss",Estée Lauder,women,"cyclamen,iris root,jasmine,ylang-ylang,geranium,vetiver,rose",oriental,Azurée,"aldehydes,artemisia,basil,gardenia,sage,bergamot"
1908,"oak,patchouli,sandalwood,oakmoss,white musks,tonka bean",Tom Ford,unisex,"orange blossom,jasmine,basil,violet leaves,buchu,neroli,minty notes",citrus,Azure Lime,"juniper berry,mint,bergamot,sweet lime,orange"
1909,"sand,amber,musk,cedar wood",Thalia Sodi,unisex,"jasmine,cyclamen,lily,orange blossom,peony",fruity,Azure Crystal,"coconut water,tangerine,lime"
1910,"vanilla,sandalwood,cedar,musk",Al Haramain,unisex,"jasmine,lily of the valley,patchouli,honey",oriental,Aysha,"lemon,grapefruit,orange"
1911,"oud,sandalwood,vanilla",Lattafa,unisex,"rose,ambranum",oriental,Awraq Al Oud,"oud,cinnamon,nutmeg"
1912,"amber,moss,musk,vanilla",Creed,men,"birch,jasmine,patchouli,rose",fruity,Aventus,"pineapple,bergamot,black currant,apple"
1913,"tonka beans,amber,leather",M. Micallef,men,"tobacco,cocoa,frankincense",chypre,Avant-Garde,"citrus fruit,bergamot"
1914,"ambrette,cedar,sandalwood",Abercrombie & Fitch,women,"nectarine,magnolia,lily of the valley",citrus,Authentic Night Women,"pear,red currant,mandarin blossom"
1915,"ambrox,oakmoss,leather",Abercrombie & Fitch,men,"lavender,tonka bean,vanilla",gourmand,Authentic Night Man,"apple,rhubarb,lotus"
1916,"woody notes,patchouli,ambergris,balsamic notes",Tauer Perfumes,unisex,amber,oriental,Au Coeur Du Désert,"citrus notes,spices"
1917,"patchouli,iris",Lancôme,women,gardenia,floral,Attraction Summer,bergamot
1918,"oliban,amber",Lancôme,women,"patchouli,iris",floral,Attraction Le Parfum,ylang ylang
1919,"tonka beans,amber,velvet",Avon,women,"tuberose,dark chocolate",fruity,Attraction Game,"pear,pink pepper,blackberry"
1920,"oppoponax,patchouli,amber,chinese cedar",Armani,men,"lavender,cardamom seed",oriental,Attitude,"sicilian lemon,coffee absolute"
1921,"sandalwood,leather,suede,amber,oud",Swiss Arabian,men,"rose,jasmine,patchouli,resins,oud",woody,Attar Ghutra,"bergamot,mandarin,raspberry,saffron,thyme,oud"
1922,"patchouli,vetiver,leather,wood",Rasasi,women,"cedar,musk,rose",oriental,Attar Al Mohabba Female,"bergamot,cardamom"
1923,"woody notes,floral notes,musk,moss,myrrh,amber",Al Haramain,unisex,"nagarmotha (cypriol),jatamansi,patchouli,guaiac wood,sandalwood,cedar,floral notes",oriental,Attar Al Maqam,"rose,gurjun,saffron,geranium"
1924,"sandalwood,leather,suede,amber,agar wood",Swiss Arabian,men,"jasmine,patchouli,frankincense",leather,Attar Al Ghutra,"bergamot,tangerine,leather,saffron"
1925,"amber,musk,vanilla",Parfums De Marly,women,"iris,orange blossom,cashmeran",floral,Athalia,"bitter orange,incense"
1926,"musk,benzoin,vanilla",Alyssa Ashley,women,"jasmine,geranium,ylang-ylang,lily of the valley",oriental,Ashley Fizzy,"bergamot,coriander"
1927,kephalis,ASAMA,unisex,labdanum ciste,woody,Asama Oud,oud
1928,"atlas cedar,amber,patchouli note,botanical musk,vetiver roots",ASAMA,unisex,"geranium,clary sage,galbanum",aromatic,Asama Marine,"bergamot,sea note"
1929,"musk,benzoin,vetiver,amber",Orientica,women,"rose,pink peony,violet",fruity,Arte Bellissimo Romantic,"bergamot,peach blossom,nutmeg,grapefruit"
1930,"cinnamon,honey,amber",Jacomo,women,"freesia,dried fruits,milk",spicy,Art Collection By Jacomo #08,"ginger,cardamom,black tea"
1931,"oakmoss,musk,amber",V Canto,unisex,"cedar,birch,patchouli,nagarmotha (cypriol),benzoin,tonka beans,jasmine",fruity,Arsenico,"apple,pineapple,red currant,bergamot"
1932,"ambergris,benzoin,musks",Clinique,men,"orange blossom,rose water",chypre,Aromatics In White,"labdanum ciste,violet leaves,sichuan pepper"
1933,"patchouli,vetiver,amber",Clinique,women,"jasmine,ylang ylang,lily-of-the-valley",chypre,Aromatics Elixir Sheer Velvet / Philtre Sensuel,"chamomile,bulgarian rose"
1934,"rose,myrrh,patchouli,oakmoss",Clinique,women,"orange blossom,jasmine,rose,honey",chypre,Aromatics Elixir Perfumer’S Reserve,"clary sage,blue camomile,peach,lemon"
1935,"patchouli,vetiver,oakmoss",Clinique,women,"jasmine,rose,tuberose,ylang ylang",chypre,Aromatics Elixir,"geranium,clary sage,blue camomile,verbena"
1936,ginger,Lancôme,women,"osmanthus,cardamom seed,mate",citrus,Aroma Tonic,lime
1937,"cedar,white musks",Lancôme,women,"osmanthus,peony,white flowers",floral,Aroma Blue,"ginger,mandarin,citrus"
1938,"benzoin,vanilla orchid",Armani,unisex,"pink peppercorn,white jasmine,ylang ylang absolute from madagascar",floral,Armani Privé Vert Malachite,"petitgrain,bigarade orange"
1939,"tonka bean,vanilla,tobacco absolute",Giorgio Armani,unisex,"coffee,cinnamon,myrrh",spicy,Armani Privé - Magenta Tanzanite,"cardamom,ginger,bergamot"
1940,"labdanum,patchouli,benzoin,tolu balm absolute",Giorgio Armani,unisex,"milk,heliotrope",woody,Armani Privé - Indigo Tanzanite,"bergamot,almond"
1941,frankincense,Giorgio Armani,unisex,vetiver,smoky,Armani Privé - Bois D'Encens,pepper
1942,"amber,labdanum,vanilla,cinnamon",Giorgio Armani,unisex,"oud,patchouli,pink pepper,sandalwood",oriental,Armani Privé - Ambre Orient,"thyme,frankincense"
1943,"white musks,amber",Armani,men,"cedar,vetiver",woody,Armani Mania Giorgio Armani,"mandarin,saffron,leaves"
1944,"benzoin,cedar,oakmoss,tonka bean",Armani,women,"jasmine,narcissus,tuberose,cyclamen",floral,Armani Femme,"pineapple,mint,galbanum,marigold"
1945,"vanilla,tonka bean,ambry notes",Armani,men,"heliotrope,cypress,atlas cedar,star anise / chinese anise",oriental,Armani Code Ultimate,"mandarin,grapefruit"
1946,"vanilla,white musks,white wood",Armani,women,"orange blossom,jasmine,cyclamen,ginger,dew notes",oriental,Armani Code Summer For Women,"pear,orange"
1947,"guaiacum,white musks,amber",Armani,men,"rose,oak,tarragon,olive leaves,marine notes",oriental,Armani Code Summer For Men,"bergamot,lemon,grapefruit"
1948,"vetiver,ginger,hivernal",Armani,men,ambroxol,citrus,Armani Code Sport,"mint,peppermint,pennyroyal mint,mandarin"
1949,"styrax,tonka bean,ambery woods",Armani,men,"lavender,nutmeg,orange flower",oriental,Armani Code Profumo,"cardamom seed,green apple,green mandarin"
1950,"vanilla,honey",Armani,women,"orange blossom,sambac jasmine",oriental,Armani Code For Her,"bitter orange,sambac jasmine,italian orange"
1951,"guaiacum,tonka bean,tobacco,smoky accents",Armani,men,"anise,aromatic notes,olive blossom",oriental,Armani Code,citron
1952,"amber,benzoin,oakmoss,musk,sandalwood,tonka bean,cedar",Giorgio Armani,women,"cyclamen,orris root,jasmine,lily of the valley,narcissus,orchid,rose,tuberose",chypre,Armani,"aldehydes,pineapple,bergamot,galbanum,mint,pot marigold"
